sport, round, number_in_round, event_name, location, track_name, date, start_time

Formula 1, 1, 1,Free Practice 1,Australia,Melbourne, 2017-03-24, 0
Formula 1, 1, 2,Free Practice 2,Australia,Melbourne, 2017-03-24, 0
Formula 1, 1, 3,Free Practice 3,Australia,Melbourne, 2017-03-25, 0
Formula 1, 1, 4,Qualifying,Australia,Melbourne, 2017-03-25, 0
Formula 1, 1, 5,Race,Australia,Melbourne, 2017-03-26, 0

Formula 1, 2, 1,Free Practice 1,China,Shanghai, 2017-04-07, 0
Formula 1, 2, 2,Free Practice 2,China,Shanghai, 2017-04-07, 0
Formula 1, 2, 3,Free Practice 3,China,Shanghai, 2017-04-08, 0
Formula 1, 2, 4,Qualifying,China,Shanghai, 2017-04-08, 0
Formula 1, 2, 5,Race,China,Shanghai, 2017-04-09, 0

Formula 1, 3, 1,Free Practice 1,Bahrain,Sakhir, 2017-04-14, 0
Formula 1, 3, 2,Free Practice 2,Bahrain,Sakhir, 2017-04-14, 0
Formula 1, 3, 3,Free Practice 3,Bahrain,Sakhir, 2017-04-15, 0
Formula 1, 3, 4,Qualifying,Bahrain,Sakhir, 2017-04-15, 0
Formula 1, 3, 5,Race,Bahrain,Sakhir, 2017-04-16, 0

Formula 1, 4, 1,Free Practice 1,Russia,Sochi, 2017-04-28, 0
Formula 1, 4, 2,Free Practice 2,Russia,Sochi, 2017-04-28, 0
Formula 1, 4, 3,Free Practice 3,Russia,Sochi, 2017-04-29, 0
Formula 1, 4, 4,Qualifying,Russia,Sochi, 2017-04-29, 0
Formula 1, 4, 5,Race,Russia,Sochi, 2017-04-30, 0

Formula 1, 5, 1,Free Practice 1,Spain,Catalunya, 2017-05-14, 0
Formula 1, 5, 2,Free Practice 2,Spain,Catalunya, 2017-05-14, 0
Formula 1, 5, 3,Free Practice 3,Spain,Catalunya, 2017-05-15, 0
Formula 1, 5, 4,Qualifying,Spain,Catalunya, 2017-05-15, 0
Formula 1, 5, 5,Race,Spain,Catalunya, 2017-05-16, 0

Formula 1, 6, 1,Free Practice 1,Monaco,Melbourne, 2017-05-25, 0
Formula 1, 6, 2,Free Practice 2,Monaco,Melbourne, 2017-05-25, 0
Formula 1, 6, 3,Free Practice 3,Monaco,Melbourne, 2017-05-27, 0
Formula 1, 6, 4,Qualifying,Monaco,Melbourne, 2017-05-27, 0
Formula 1, 6, 5,Race,Monaco,Melbourne, 2017-05-28, 0

Formula 1, 7, 1,Free Practice 1,Canada,Montreal, 2017-06-09, 0
Formula 1, 7, 2,Free Practice 2,Canada,Montreal, 2017-06-09, 0
Formula 1, 7, 3,Free Practice 3,Canada,Montreal, 2017-06-10, 0
Formula 1, 7, 4,Qualifying,Canada,Montreal, 2017-06-10, 0
Formula 1, 7, 5,Race,Canada,Montreal, 2017-06-11, 0

Formula 1, 8, 1,Free Practice 1,Azerbaijan,Baku, 2017-06-23, 0
Formula 1, 8, 2,Free Practice 2,Azerbaijan,Baku, 2017-06-23, 0
Formula 1, 8, 3,Free Practice 3,Azerbaijan,Baku, 2017-06-24, 0
Formula 1, 8, 4,Qualifying,Azerbaijan,Baku, 2017-06-24, 0
Formula 1, 8, 5,Race,Azerbaijan,Baku, 2017-06-25, 0

Formula 1, 9, 1,Free Practice 1,Austria,Speilberg, 2017-07-07, 0
Formula 1, 9, 2,Free Practice 2,Austria,Speilberg, 2017-07-07, 0
Formula 1, 9, 3,Free Practice 3,Austria,Speilberg, 2017-07-08, 0
Formula 1, 9, 4,Qualifying,Austria,Speilberg, 2017-07-08, 0
Formula 1, 9, 5,Race,Austria,Speilberg, 2017-07-09, 0
